Word,Translation
"before (prep. A1, conj., adv. A2)",əvvəl
beg (v. B2),yalvarmaq
begin (v. A1),başlamaq
beginning (n. A1),başlanğıc
behave (v. A2),davranmaq
behaviour (n. A2),davranış
"behind (prep., adv. A1)",arxasında
being (n. B2),varlıq
belief (n. B1),inanc
believe (v. A1),inanmaq
bell (n. B1),zəng
belong (v. A2),aid olmaq
"below (adv., prep. A1)",aşağıda
belt (n. A2),kəmər
"bend (v., n. B1)","əymək, döngə"
"benefit (n. A2, v. B1)",fayda
bent (adj. B2),əyilmiş
"best (adj. A1, adv., n. A2)",ən yaxşı
"bet (v., n. B2)",mərc etmək
"better (adj. A1, adv. A2, n. B1)",daha yaxşı
"between (prep. A1, adv. A2)",arasında
"beyond (prep., adv. B2)","o tərəfə, kənarda"
bicycle (n. A1),velosiped
big (adj. A1),böyük
bike (n. A1),velosiped
"bill (n. A1, v. B2)",hesab
billion (number A2),milyard
bin (n. A2),zibil qutusu
biology (n. A2),biologiya
bird (n. A1),quş
birth (n. A2),doğum
birthday (n. A1),ad günü
biscuit (n. A2),biskvit
bit (n. A2),bir az
"bite (v., n. B1)",dişləmək
bitter (adj. B2),acı
"black (adj., n. A1)",qara
"blame (v., n. B2)",günahlandırmaq
"blank (adj., n. A2)",boş
blind (adj. B2),kor
"block (n., v. B1)",blok
blog (n. A1),bloq
blonde (adj. A1),sarışın
blood (n. A2),qan
blow (v. A2),"üfürmək, əsmək"
"blue (adj., n. A1)",mavi
"board (n. A2, v. B1)",lövhə
boat (n. A1),qayıq
body (n. A1),bədən
boil (v. A2),qaynatmaq
"bomb (n., v. B1)",bomba
bond (n. B2),"bağ, əlaqə"
bone (n. A2),sümük
"book (n. A1, v. A2)","kitab, bron etmək"
boot (n. A1),çəkmə
"border (n. B1, v. B2)",sərhəd
bored (adj. A1),bezmiş
boring (adj. A1),sıxıcı
born (v. A1),doğulmuş
borrow (v. A2),borc almaq
boss (n. A2),müdir
both (det./pron. A1),hər ikisi
bother (v. B1),narahat etmək
bottle (n. A1),"şüşə, butulka"
"bottom (n., adj. A2)","alt, dip"
bowl (n. A2),kasa
box (n. A1),qutu
boy (n. A1),oğlan
boyfriend (n. A1),sevgilisi (oğlan)
brain (n. A2),beyin
branch (n. B1),"filial, budaq"
"brand (n., v. B1)",marka
brave (adj. B1),cəsur
bread (n. A1),çörək
"break (v., n. A1)","sındırmaq, fasilə"
breakfast (n. A1),səhər yeməyi
breast (n. B2),döş
breath (n. B1),nəfəs
breathe (v. B1),nəfəs almaq
breathing (n. B1),tənəffüs
bride (n. B1),gəlin
bridge (n. A2),körpü
brief (adj. B2),qısa
bright (adj. A2),parlaq
brilliant (adj. A2),"parlaq, mükəmməl"
bring (v. A1),gətirmək
broad (adj. B2),geniş
"broadcast (v., n. B2)","yayımlamaq, yayım"
broken (adj. A2),qırıq
brother (n. A1),qardaş
"brown (adj., n. A1)",qəhvəyi
"brush (v., n. A2)",fırça
bubble (n. B1),qabarcıq
budget (n. B2),büdcə
build (v. A1),"qurmaq, tikmək"
building (n. A1),bina
bullet (n. B2),güllə
bunch (n. B2),dəstə
"burn (v. A2, n. B2)",yandırmaq
bury (v. B1),dəfn etmək
bus (n. A1),avtobus
bush (n. B2),kol
business (n. A1),biznes
businessman (n. A2),iş adamı
busy (adj. A1),məşğul
"but (conj. A1, prep. B2)",amma
butter (n. A1),kərə yağı
button (n. A2),düymə
buy (v. A1),almaq
"by (prep. A1, adv. B1)","tərəfindən, ilə"
bye (exclam. A1),sağ ol
cable (n. B2),kabel
cafe (n. A1),kafe
cake (n. A1),tort
calculate (v. B2),hesablamaq
"call (v., n. A1)","çağırmaq, zəng etmək"
"calm (adj., v., n. B1)",sakit
camera (n. A1),kamera
"camp (n., v. A2)",düşərgə
"campaign (n., v. B1)",kampaniya
camping (n. A2),kamp
campus (n. B1),kampus
can (modal v. A1),bacarmaq
can (n. A2),konserva
cancel (v. B2),ləğv etmək
cancer (n. B2),xərçəng
candidate (n. B1),namizəd
cannot (v. A1),edə bilməz
cap (n. B1),papaq
capable (adj. B2),qadir
capacity (n. B2),tutum
"capital (n., adj. A1)",paytaxt
captain (n. B1),kapitan
"capture (v., n. B2)",ələ keçirmək
car (n. A1),maşın
card (n. A1),kart
"care (n., v. A2)",qayğı
career (n. A1),karyera
careful (adj. A2),diqqətli
carefully (adv. A2),diqqətlə
careless (adj. B1),diqqətsiz
carpet (n. A2),xalça
carrot (n. A1),kök
carry (v. A1),daşımaq
cartoon (n. A2),cizgi filmi
case (n. A2),"vəziyyət, hal"
cash (n. A2),nağd pul
"cast (n., v. B2)","atmaq, tökmək"
castle (n. A2),qəsr
cat (n. A1),pişik
"catch (v. A2, n. B2)",tutmaq
category (n. B1),kateqoriya
"cause (n., v. A2)",səbəb
CD (n. A1),CD (kompakt disk)
ceiling (n. B1),tavan
celebrate (v. A2),qeyd etmək
celebration (n. B1),qeyd etmə
celebrity (n. A2),məşhur
cell (n. B2),hüceyrə
cent (n. A1),sent
central (adj. B1),mərkəzi
"centre (n. A1, v. B1)",mərkəz
century (n. A1),əsr
ceremony (n. B1),mərasim
certain (adj. A2),müəyyən
certainly (adv. A2),əlbəttə
"chain (n. B1, v. B2)",zəncir
"chair (n. A1, v. B2)",stul
chairman (n. B2),sədr
"challenge (n. B1, v. B2)","çətinlik, çağırış"
champion (n. B1),çempion
chance (n. A2),şans
"change (v., n. A1)",dəyişdirmək
channel (n. B1),kanal
chapter (n. B1),fəsil
character (n. A2),xarakter
"characteristic (n., adj. B2)",xarakterik
"charge (n., v. B1)","yükləmək, ödəniş"
charity (n. A2),xeyriyyəçilik
"chart (n. A1, v. B2)",qrafik
"chat (v., n. A2)",söhbət
"cheap (adj. A1, adv. B1)",ucuz
"cheat (v., n. B1)",aldatmaq
"check (v. A1, n. A2)",yoxlamaq
cheerful (adj. B1),şən
cheese (n. A1),pendir
chef (n. A2),aşpaz
"chemical (adj., n. B1)",kimyəvi
chemistry (n. A2),kimya
chest (n. B1),sinə
chicken (n. A1),toyuq
"chief (adj., n. B2)",baş
child (n. A1),uşaq
childhood (n. B1),uşaqlıq
chip (n. A2),çip
chocolate (n. A1),şokolad
choice (n. A2),seçim
choose (v. A1),seçmək
church (n. A2),kilsə
cigarette (n. A2),siqaret
cinema (n. A1),kinoteatr
"circle (n., v. A2)",dairə
circumstance (n. B2),"vəziyyət, şərait"
cite (v. B2),sitat gətirmək
citizen (n. B2),vətəndaş
city (n. A1),şəhər
civil (adj. B2),mülki
"claim (v., n. B1)",iddia etmək
class (n. A1),sinif
"classic (adj., n. B2)",klassik
classical (adj. A2),klassik
classroom (n. A1),sinif otağı
clause (n. B1),bənd
"clean (adj., v. A1)",təmiz
"clear (adj. A2, v. B1)",aydın
clearly (adv. A2),aydın şəkildə
clever (adj. A2),ağıllı
"click (v., n. B1)",klikləmək
client (n. B1),müştəri
climate (n. A2),iqlim
"climb (v. A1, n. B1)",dırmaşmaq
clock (n. A1),saat
"close (v. A1, n. B2)",bağlamaq
"close (adj. A2, adv. B1)",yaxın
closed (adj. A2),bağlı
closely (adv. B2),yaxından
cloth (n. B1),parça
clothes (n. A1),paltar
clothing (n. A2),geyim
cloud (n. A2),bulud
club (n. A1),klub
clue (n. B1),ipucu
"coach (n. A2, v. B1)",məşqçi
coal (n. B1),kömür
coast (n. A2),sahil
coat (n. A1),palto
code (n. A2),kod
coffee (n. A1),qəhvə
coin (n. B1),sikkə
"cold (adj., n. A1)",soyuq
"collapse (v., n. B2)",çökmək
colleague (n. A2),həmkar
collect (v. A2),toplamaq
collection (n. B1),kolleksiya
college (n. A1),kollec
colour (n. A1),rəng
coloured (adj. B1),rəngli
column (n. A2),sütun
combination (n. B2),kombinasiya
combine (v. B1),birləşdirmək
come (v. A1),gəlmək
comedy (n. A2),komediya
"comfort (n., v. B2)",rahatlıq
comfortable (adj. A2),rahat
"command (n., v. B2)",əmr
"comment (n. A2, v. B1)",şərh
"commercial (adj., n. B1)",kommersiya
"commission (n., v. B2)",komissiya
commit (v. B1),"törətmək, öhdəsinə götürmək"
commitment (n. B2),öhdəlik
committee (n. B2),komitə
"common (adj., n. A1)","ümumi, adi"
commonly (adv. B2),adətən
communicate (v. A2),əlaqə saxlamaq
communication (n. B1),kommunikasiya
community (n. A2),icma
company (n. A1),şirkət
compare (v. A1),müqayisə etmək
comparison (n. B1),müqayisə
compete (v. A2),rəqabət aparmaq
competition (n. A2),"müsabiqə, rəqabət"
competitive (adj. B1),rəqabətli
competitor (n. B1),rəqib
complain (v. A2),şikayət etmək
complaint (n. B1),şikayət
"complete (adj., v. A1)",tam
completely (adv. A2),tamamilə
"complex (adj. B1, n. B2)",mürəkkəb
complicated (adj. B2),mürəkkəb
component (n. B2),komponent